id,incident_id,operator_id,region_id,raw_data_id,title,description,status,severity,start_time,end_time,estimated_fix_time,location,latitude,longitude,affected_services,created_at,updated_at,place
114,INCSE0425251,1,1,147,"{""sv"": ""INCSE0425251"", ""en"": ""INCSE0425251""}","{""sv"": ""Fault INCSE0425251 has been found, though it was resolved a long time ago and is considered obsolete. "", ""en"": ""fault incse0425251 has been found, though it was resolved a long time ago and is considered obsolete. ""}",resolved,medium,2025-12-27 22:20:00.000000,2025-12-28 07:51:00.000000,,Stockholms län,59.3360861,18.0718987,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-19 11:09:26," Kungsgatan 1, 111 43, Sverige"
115,INCSE0425235,1,20,126,"{""sv"": ""INCSE0425235"", ""en"": ""INCSE0425235""}","{""sv"": ""Fault INCSE0425235 has been found, though it was resolved a long time ago and is considered obsolete."", ""en"": ""fault incse0425235 has been found, though it was resolved a long time ago and is considered obsolete.""}",resolved,medium,2025-12-27 22:20:00.000000,2025-12-28 16:48:00.000000,,Norrbottens län,67.08986,19.96254,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-19 11:09:26," 3XQ7+W2 Grenselet, Sverige"
171,33883425,3,12,2527,"{""sv"": ""33883425"", ""en"": ""33883425""}","{""sv"": ""Fels\u00f6kning p\u00e5g\u00e5r"", ""en"": ""troubleshooting in progress""}",resolved,medium,2025-11-24T12:42:00,2026-03-19 11:09:26,2026-03-07T14:00:00,Värmlands län,59.4189700600957,13.47552540349141,"[""4g"", ""5g""]",2025-12-27 23:38:11,2026-03-19 11:09:26,9FFMCF9G+H6
240,INCSE0461644,1,3,273,"{""sv"": ""INCSE0461644"", ""en"": ""INCSE0461644""}","{""sv"": ""Just nu kan du uppleva st\u00f6rningar i mobiln\u00e4tet som bland annat p\u00e5verkar samtal, surf och andra mobila tj\u00e4nster."", ""en"": ""You may currently experience mobile network disruptions affecting calls, data, and other mobile services.""}",resolved,medium,2026-02-04 05:39:00.000000,2026-03-06 15:30:00.000000,2026-03-06 09:00:00.000000,Skåne län,56.35229,12.800474,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26,9F8J9R22+W5
241,INCSE0467939,1,8,274,"{""sv"": ""INCSE0467939"", ""en"": ""INCSE0467939""}","{""sv"": ""Incident ID: INCSE0467939"", ""en"": ""incident id: incse0467939""}",resolved,medium,2026-02-12 19:43:00.000000,2026-02-23 12:12:00.000000,,Kalmar län,56.7066856,16.3433006,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26," Vänskapens väg 6, 393 60, Sverige"
242,INCSE0469797,1,3,275,"{""sv"": ""INCSE0469797"", ""en"": ""INCSE0469797""}","{""sv"": ""Incident ID: INCSE0469797"", ""en"": ""incident id: incse0469797""}",resolved,medium,2026-02-12 19:43:00.000000,2026-02-19 14:30:00.000000,,Skåne län,55.6076532,13.0002187,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26," Norra Vallgatan 62, 211 22, Sverige"
243,INCSE0436896,1,11,892,"{""sv"": ""INCSE0436896"", ""en"": ""INCSE0436896""}","{""sv"": ""P\u00e5 grund av ett kabelfel i ditt omr\u00e5de kan du uppleva st\u00f6rningar i mobiln\u00e4tet som p\u00e5verkar samtal, surf och andra mobila tj\u00e4nster."", ""en"": ""Due to a cable fault in your area, you may experience mobile network disruptions affecting calls, data, and other mobile services.""}",resolved,medium,2026-02-12 19:43:00.000000,2026-03-03 15:42:00.000000,,Hallands län,57.3166875,12.5735625,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26," 8H8F+MC Kungsäter, Sverige"
244,INCSE0470451,1,3,277,"{""sv"": ""INCSE0470451"", ""en"": ""INCSE0470451""}","{""sv"": ""Incident ID: INCSE0470451"", ""en"": ""incident id: incse0470451""}",resolved,medium,2026-02-12 19:43:00.000000,2026-02-13 13:45:00.000000,,Skåne län,56.0110357,14.233929,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26," Kvarnnäsvägen 61, 291 51, Sverige"
245,INCSE0469653,1,3,278,"{""sv"": ""INCSE0469653"", ""en"": ""INCSE0469653""}","{""sv"": ""Incident ID: INCSE0469653"", ""en"": ""incident id: incse0469653""}",resolved,medium,2026-02-12 18:43:00.000000,2026-02-13 11:45:00.000000,,Skåne län,56.0110357,14.233929,"[""4g"", ""5g""]",2026-02-12 20:43:27,2026-03-19 11:09:26," Kvarnnäsvägen 61, 291 51, Sverige"
246,34216621,3,16,2405,"{""sv"": ""34216621"", ""en"": ""34216621""}","{""sv"": ""Fels\u00f6kning p\u00e5g\u00e5r"", ""en"": ""troubleshooting in progress""}",resolved,medium,2026-01-18T19:29:00,2026-03-19 11:09:26,2026-03-04T13:00:00,Gävleborgs län,60.98708781408098,16.016881922210125,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FGRX2P8+RQ
251,34279896,3,21,2411,"{""sv"": ""34279896"", ""en"": ""34279896""}","{""sv"": ""Fels\u00f6kning p\u00e5g\u00e5r"", ""en"": ""troubleshooting in progress""}",resolved,medium,2026-01-24T17:18:00,2026-03-19 11:09:26,2026-03-04T13:00:00,Södermanlands län,59.07309775496335,16.693157936430627,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FFR3MFV+67
254,34243713,3,15,22011,"{""sv"": ""34243713"", ""en"": ""34243713""}","{""sv"": ""Fels\u00f6kning p\u00e5g\u00e5r"", ""en"": ""troubleshooting in progress""}",resolved,medium,2026-01-22T00:49:00,2026-04-23 13:00:00.000000,2026-03-07T14:00:00,Dalarnas län,60.68036425801197,15.099041762666952,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-04-23 13:33:15.558498,9FGQP26Q+VH
257,34280539,3,1,1292,"{""sv"": ""34280539"", ""en"": ""34280539""}","{""sv"": ""Fels\u00f6kning p\u00e5g\u00e5r"", ""en"": ""troubleshooting in progress""}",resolved,medium,2026-01-28T01:40:00,2026-03-19 11:09:26,2026-02-28T13:00:00,Stockholms län,59.361758402035186,18.01666117636707,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FFW9268+PM
258,TRE-076984,2,2,292,"{""sv"": ""TRE-076984"", ""en"": ""TRE-076984""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.959394,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Västra Götalands län,58.02184736450374,13.010896656072084,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FCM22C6+P9
259,TRE-21E507,2,2,293,"{""sv"": ""TRE-21E507"", ""en"": ""TRE-21E507""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.961393,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Västra Götalands län,58.00088481040908,13.010251879971225,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FCM2226+94
260,TRE-1BFAE7,2,3,294,"{""sv"": ""TRE-1BFAE7"", ""en"": ""TRE-1BFAE7""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.962394,2026-03-17T22:11:07.587119,2026-02-10 06:00:00.000000,Skåne län,55.87679168850811,13.45534823426966,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9F7MVFG4+P4
261,TRE-04381E,2,2,295,"{""sv"": ""TRE-04381E"", ""en"": ""TRE-04381E""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.964394,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Västra Götalands län,58.017780643209406,13.0297800447406,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9FCM229H+4W
262,TRE-01EA5C,2,8,296,"{""sv"": ""TRE-01EA5C"", ""en"": ""TRE-01EA5C""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.967916,2026-03-17T22:11:07.587119,2026-02-10 03:00:00.000000,Kalmar län,56.65169859715897,16.307048103656513,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9F8RM824+MR
263,TRE-BF7301,2,10,297,"{""sv"": ""TRE-BF7301"", ""en"": ""TRE-BF7301""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.968950,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Blekinge län,56.16007857867681,15.540958444953928,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9F8Q5G6R+29
264,TRE-E46237,2,11,298,"{""sv"": ""TRE-E46237"", ""en"": ""TRE-E46237""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.970951,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Hallands län,56.92559374828377,12.78937710895586,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9F8JWQGQ+6Q
265,TRE-C9AD9C,2,2,299,"{""sv"": ""TRE-C9AD9C"", ""en"": ""TRE-C9AD9C""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2026-02-12 20:43:56.972471,2026-03-17T22:11:07.587119,2026-02-15 23:45:00.000000,Västra Götalands län,57.96489601095935,13.04255419269625,"[""4g"", ""5g""]",2026-02-12 20:43:56,2026-03-19 11:09:26,9F9MX27V+X2
